"Site","elevation","latitude","longitude","full_ID","stationID","filename","date","time","time_stamp","PESO","SOREX","UNK","VOLE","SCIURIDAE","MUSTELIDAE","OTHER","X","night","sunAltDegrees","moonAltDegrees","moonlightModel","twilightModel","illumination","moonPhase","mean_height","max_height","sd_height","cover2m","CC","FC","CP","Le","L","CI"
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1040.jpg","2026-07-01","21:02:36",2026-07-01 21:02:36,1,0,0,0,0,0,0,"",TRUE,-0.741403892223166,-13.8212252640802,0,480.765407473005,480.765407473005,0.957251805889329,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1041.jpg","2026-07-01","21:02:38",2026-07-01 21:02:38,1,0,0,0,0,0,0,"",TRUE,-0.746201171566131,-13.8157231489135,0,479.253590808523,479.253590808523,0.957250900552025,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1042.jpg","2026-07-01","21:09:30",2026-07-01 21:09:30,1,0,0,0,0,0,0,"",TRUE,-1.72688762193843,-12.6854038640428,0,235.807412858231,235.807412858231,0.957064192005926,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1043.jpg","2026-07-01","21:09:30",2026-07-01 21:09:30,1,0,0,0,0,0,0,"",TRUE,-1.72688762193843,-12.6854038640428,0,235.807412858231,235.807412858231,0.957064192005926,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1044.jpg","2026-07-01","21:09:32",2026-07-01 21:09:32,0,0,0,0,0,0,0,"",TRUE,-1.73161111510694,-12.679932290589,0,234.931565285144,234.931565285144,0.957063284630457,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1045.jpg","2026-07-01","21:12:46",2026-07-01 21:12:46,1,0,0,0,0,0,0,"",TRUE,-2.18805518578568,-12.1499158643642,0,162.008669684379,162.008669684379,0.956975221500996,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1046.jpg","2026-07-01","21:12:48",2026-07-01 21:12:48,1,0,0,0,0,0,0,"",TRUE,-2.19274274344967,-12.1444594015541,0,161.371673405616,161.371673405616,0.956974313152025,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1047.jpg","2026-07-01","21:12:50",2026-07-01 21:12:50,1,0,0,0,0,0,0,"",TRUE,-2.1974299304375,-12.1390030957077,0,160.736839007273,160.736839007273,0.956973404793124,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1051.jpg","2026-07-01","22:48:30",2026-07-01 22:48:30,1,0,0,0,0,0,0,"",TRUE,-13.8241332609531,2.4626883985498,0.000268494118984318,0.00313146346521864,0.00321738158329362,0.954325481318761,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1052.jpg","2026-07-01","22:48:32",2026-07-01 22:48:32,1,0,0,0,0,0,0,"",TRUE,-13.8274379133501,2.46719073805218,0.000270301325269453,0.00312720339634088,0.0032136998204271,0.954324544447319,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1053.jpg","2026-07-01","22:48:34",2026-07-01 22:48:34,1,0,0,0,0,0,0,"",TRUE,-13.8307420325521,2.47169340632438,0.000272117204785361,0.00312295287029417,0.00321003037582548,0.954323607547317,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1083.jpg","2026-07-02","20:24:40",2026-07-02 20:24:40,0,0,0,0,0,0,0,"",FALSE,4.90197671413105,-25.0853842593272,0,4401.10871862133,4401.10871862133,0.910430034908602,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1084.jpg","2026-07-02","20:24:42",2026-07-02 20:24:42,0,0,0,0,0,0,0,"",FALSE,4.8968213589335,-25.0796431554016,0,4395.97524072406,4395.97524072406,0.910428715664138,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1085.jpg","2026-07-02","20:24:44",2026-07-02 20:24:44,0,0,0,0,0,0,0,"",FALSE,4.89166627813518,-25.0739020389077,0,4390.8454135693,4390.8454135693,0.910427396409715,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1086.jpg","2026-07-02","21:11:32",2026-07-02 21:11:32,1,0,0,0,0,0,0,"",TRUE,-2.04618888105098,-17.0259786331169,0,182.310637110535,182.310637110535,0.908565609453193,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
