"Site","elevation","latitude","longitude","full_ID","stationID","filename","date","time","time_stamp","PESO","SOREX","UNK","VOLE","SCIURIDAE","MUSTELIDAE","OTHER","...18","night","sunAltDegrees","moonAltDegrees","moonlightModel","twilightModel","illumination","moonPhase","mean_height","max_height","sd_height","cover2m","CC","FC","CP","Le","L","CI"
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0338.JPG",2026-07-16,04:07:26,2026-07-16 04:07:26,1,0,0,0,0,0,0,NA,TRUE,-12.7688117890625,-27.3293375483904,0,0.00513901313710109,0.00513901313710109,0.0597312959172076,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0339.JPG",2026-07-16,04:07:28,2026-07-16 04:07:28,1,0,0,0,0,0,0,NA,TRUE,-12.7650373379796,-27.3280367150485,0,0.00514939374040391,0.00514939374040391,0.0597325444332268,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0340.JPG",2026-07-16,04:10:34,2026-07-16 04:10:34,1,0,0,0,0,0,0,NA,TRUE,-12.4116568243494,-27.203455511416,0,0.00629059388128491,0.00629059388128491,0.0598487089157747,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0341.JPG",2026-07-16,04:10:36,2026-07-16 04:10:36,1,0,0,0,0,0,0,NA,TRUE,-12.4078318658448,-27.2020772780956,0,0.00630508337211484,0.00630508337211484,0.0598499585471667,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0342.JPG",2026-07-16,04:10:36,2026-07-16 04:10:36,1,0,0,0,0,0,0,NA,TRUE,-12.4078318658448,-27.2020772780956,0,0.00630508337211484,0.00630508337211484,0.0598499585471667,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0343.JPG",2026-07-16,04:10:48,2026-07-16 04:10:48,1,0,0,0,0,0,0,NA,TRUE,-12.3848707674511,-27.1937905906942,0,0.0063928796717994,0.0063928796717994,0.0598574566346431,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0344.JPG",2026-07-16,04:10:48,2026-07-16 04:10:48,1,0,0,0,0,0,0,NA,TRUE,-12.3848707674511,-27.1937905906942,0,0.0063928796717994,0.0063928796717994,0.0598574566346431,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0345.JPG",2026-07-16,04:10:48,2026-07-16 04:10:48,1,0,0,0,0,0,0,NA,TRUE,-12.3848707674511,-27.1937905906942,0,0.0063928796717994,0.0063928796717994,0.0598574566346431,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0346.JPG",2026-07-16,04:11:00,2026-07-16 04:11:00,1,0,0,0,0,0,0,NA,TRUE,-12.361890494504,-27.1854743713164,0,0.00648206180325899,0.00648206180325899,0.0598649551492362,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0347.JPG",2026-07-16,04:11:00,2026-07-16 04:11:00,1,0,0,0,0,0,0,NA,TRUE,-12.361890494504,-27.1854743713164,0,0.00648206180325899,0.00648206180325899,0.0598649551492362,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
